YEAR,WEEK,DATE,14 years or younger,15 to 44 years,45 to 64 years,65 to 74 years,75 to 84 years,85 years or more
2010,1,,85,299,1570,2049,3952,5012
2010,2,,98,331,1465,1860,3883,4902
2010,3,,84,347,1392,1781,3501,4654
2010,4,,89,336,1300,1666,3359,4305
2010,5,,90,317,1308,1588,3123,4089
2010,6,,107,308,1239,1596,3002,3864
2010,7,,88,329,1276,1560,3015,3834
2010,8,,100,340,1315,1600,3106,3833
2010,9,,86,348,1230,1547,3003,3765
2010,10,,73,334,1259,1552,2917,3653
2010,11,,77,294,1307,1572,2895,3581
2010,12,,93,303,1227,1566,2870,3554
2010,13,,66,230,1035,1256,2385,2971
2010,14,,85,288,1242,1603,2958,3553
2010,15,,84,321,1276,1646,3058,3496
2010,16,,97,333,1243,1525,2821,3429
2010,17,,78,325,1220,1564,2857,3458
2010,18,,72,240,1119,1379,2574,2955
2010,19,,95,335,1262,1497,2973,3321
2010,20,,93,356,1165,1525,2689,3361
2010,21,,104,352,1205,1616,2861,3310
2010,22,,69,244,1080,1371,2416,2996
2010,23,,60,303,1292,1527,2727,3350
2010,24,,90,291,1182,1497,2530,2923
2010,25,,72,311,1145,1437,2502,2994
2010,26,,80,279,1161,1497,2644,3306
2010,27,,81,313,1203,1376,2688,2964
2010,28,,100,291,1174,1404,2582,2988
2010,29,,74,302,1200,1359,2533,2791
2010,30,,83,289,1075,1377,2464,2965
2010,31,,78,355,1211,1434,2557,2828
2010,32,,82,327,1086,1386,2478,2958
2010,33,,66,280,1144,1425,2604,3063
2010,34,,71,278,1160,1462,2531,3123
2010,35,,65,249,1045,1292,2316,2741
2010,36,,76,322,1176,1539,2684,3164
2010,37,,89,320,1206,1476,2534,3093
2010,38,,86,317,1131,1455,2651,3299
2010,39,,91,282,1160,1440,2564,3218
2010,40,,90,315,1214,1455,2785,3334
2010,41,,98,307,1315,1467,2703,3328
2010,42,,68,318,1205,1495,2766,3433
2010,43,,78,323,1198,1462,2861,3350
2010,44,,87,318,1215,1581,2851,3616
2010,45,,74,307,1221,1507,2829,3468
2010,46,,66,319,1185,1540,2856,3471
2010,47,,80,307,1198,1502,2932,3454
2010,48,,70,280,1199,1516,2764,3391
